Proxy,Country,Region,City,Location,Organization,Error
129.10.76.179:80,CA,British Columbia,Surrey,"49.1063,-122.8251",AS852 TELUS Communications Inc.,None
98.8.195.160:443,CN,Guangdong,Shenzhen,"22.5455,114.0683",AS4134 CHINANET-BACKBONE,None
5.78.118.46:60275,IR,Fars,Shiraz,"29.6103,52.5311",AS57511 Innovative Telecom Systems FZE,None
209.121.164.51:31147,CO,Bolívar,Cartagena,"10.3997,-75.5144",AS13489 UNE EPM TELECOMUNICACIONES S.A.,None
171.4.95.90:8081,PH,Metro Manila,Quezon City,"14.6488,121.0509",AS132199 Globe Telecom Inc.,None
113.108.13.120:8083,CN,Guangdong,Shenzhen,"22.5455,114.0683","AS9808 China Mobile Communications Group Co., Ltd.",None
158.255.77.169:80,CN,Hebei,Shijiazhuang,"38.0414,114.4786",AS4134 CHINANET-BACKBONE,None
154.85.58.149:80,US,Virginia,Oakton,"38.8809,-77.3008",AS8075 Microsoft Corporation,None
72.10.160.174:17503,CA,British Columbia,Surrey,"49.1063,-122.8251",AS852 TELUS Communications Inc.,None
180.127.145.241:1080,US,New York,Buffalo,"42.8864,-78.8784",AS19084 ColoUp,None
180.191.42.241:8082,CA,Quebec,Montréal,"45.5088,-73.5878",AS16276 OVH SAS,None
183.238.165.170:9002,CH,Zurich,Zürich,"47.3950,8.4488",AS9009 M247 Europe SRL,None
27.189.131.51:8089,CN,Hebei,Shijiazhuang,"38.0414,114.4786",AS4134 CHINANET-BACKBONE,None
172.191.74.198:8080,IN,Telangana,Hyderābād,"17.3840,78.4564","AS55577 Atria Convergence Technologies Ltd.,",None
209.121.164.50:31147,PH,Soccsksargen,Koronadal,"6.5031,124.8469",AS9299 Philippine Long Distance Telephone Company,None
162.223.90.130:80,ID,Jakarta,Jakarta,"-6.2146,106.8451",AS56246 PT Sumber Data Indonesia,None
103.242.105.241:8080,ID,Jakarta,Jakarta,"-6.2146,106.8451",AS138915 Kaopu Cloud HK Limited,None
142.44.210.174:80,VN,Hanoi,Hanoi,"21.0245,105.8412",AS131414 Long Van Soft Solution JSC,None
192.73.244.36:80,AE,Dubai,Dubai,"25.0772,55.3093",AS199524 G-Core Labs S.A.,None
204.157.185.4:999,HK,Hong Kong,Hong Kong,"22.2783,114.1747",AS136907 HUAWEI CLOUDS,None
